2022-05-31 15:43:39 status unpacked coreutils:amd64 8.30-3ubuntu2
2022-05-31 15:43:39 install dash:amd64 <none> 0.5.10.2-6
2022-05-31 15:43:39 status half-installed dash:amd64 0.5.10.2-6
2022-05-31 15:43:39 status unpacked dash:amd64 0.5.10.2-6
2022-05-31 15:43:39 install debconf:all <none> 1.5.73
2022-05-31 15:43:39 status half-installed debconf:all 1.5.73
2022-05-31 15:43:39 status unpacked debconf:all 1.5.73
2022-05-31 15:43:39 install debianutils:amd64 <none> 4.9.1
2022-05-31 15:43:39 status half-installed debianutils:amd64 4.9.1
2022-05-31 15:43:39 status unpacked debianutils:amd64 4.9.1
2022-05-31 15:43:39 install diffutils:amd64 <none> 1:3.7-3
2022-05-31 15:43:39 status half-installed diffutils:amd64 1:3.7-3
2022-05-31 15:43:39 status unpacked diffutils:amd64 1:3.7-3
2022-05-31 15:43:39 upgrade dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2022-05-31 15:43:39 status half-configured dpkg:amd64 1.19.7ubuntu3
2022-05-31 15:43:39 status unpacked dpkg:amd64 1.19.7ubuntu3
2022-05-31 15:43:39 status half-installed dpkg:amd64 1.19.7ubuntu3
2022-05-31 15:43:39 status unpacked dpkg:amd64 1.19.7ubuntu3
2022-05-31 15:43:39 install e2fsprogs:amd64 <none> 1.45.5-2ubuntu1
2022-05-31 15:43:39 status half-installed e2fsprogs:amd64 1.45.5-2ubuntu1
2022-05-31 15:43:39 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2022-05-31 15:43:39 install fdisk:amd64 <none> 2.34-0.1ubuntu9
2022-05-31 15:43:39 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2022-05-31 15:43:39 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2022-05-31 15:43:39 install findutils:amd64 <none> 4.7.0-1ubuntu1
2022-05-31 15:43:39 status half-installed findutils:amd64 4.7.0-1ubuntu1
2022-05-31 15:43:39 status unpacked findutils:amd64 4.7.0-1ubuntu1
2022-05-31 15:43:39 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2022-05-31 15:43:39 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2022-05-31 15:43:39 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2022-05-31 15:43:39 install grep:amd64 <none> 3.4-1
2022-05-31 15:43:39 status half-installed grep:amd64 3.4-1
2022-05-31 15:43:39 status unpacked grep:amd64 3.4-1
2022-05-31 15:43:39 install gzip:amd64 <none> 1.10-0ubuntu4
2022-05-31 15:43:39 status half-installed gzip:amd64 1.10-0ubuntu4
2022-05-31 15:43:39 status unpacked gzip:amd64 1.10-0ubuntu4
2022-05-31 15:43:39 install hostname:amd64 <none> 3.23
2022-05-31 15:43:39 status half-installed hostname:amd64 3.23
2022-05-31 15:43:39 status unpacked hostname:amd64 3.23
2022-05-31 15:43:39 install init-system-helpers:all <none> 1.57
2022-05-31 15:43:39 status half-installed init-system-helpers:all 1.57
2022-05-31 15:43:39 status unpacked init-system-helpers:all 1.57
2022-05-31 15:43:39 install libacl1:amd64 <none> 2.2.53-6
2022-05-31 15:43:39 status half-installed libacl1:amd64 2.2.53-6
2022-05-31 15:43:40 status unpacked libacl1:amd64 2.2.53-6
2022-05-31 15:43:40 install libattr1:amd64 <none> 1:2.4.48-5
2022-05-31 15:43:40 status half-installed libattr1:amd64 1:2.4.48-5
2022-05-31 15:43:40 status unpacked libattr1:amd64 1:2.4.48-5
2022-05-31 15:43:40 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2022-05-31 15:43:40 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2022-05-31 15:43:40 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
